Car ID,Average Damage Score
37039444,0.41566869616508484
37301114,0.6915173530578613
37925394,0.6020089387893677
38242674,0.48087120056152344
39162434,0.5206553339958191
39643574,0.4914495646953583
39862094,0.39274632930755615
39871984,0.4889558255672455
40691844,0.5898510217666626
41041654,0.5622369647026062
42230944,0.5801891088485718
43275674,0.5265067219734192
44518724,0.4437304139137268
50645394,0.6528460383415222
51298014,0.48782801628112793
52138334,0.35347071290016174
59429224,0.5603644847869873
73339443,0.2867860198020935
77637553,
